Zeitstempel,Smartphone,Einfach QR,Einfach NFC,Einfach BT,Einfach URL,Einfach BLE,Einfach FB,Einfach Whatsapp,Einfach App,Nutzung QR,Nutzung NFC,Nutzung BT,Nutzung URL,Nutzung BLE,Nutzung FB,Nutzung Whatsapp,Nutzung App,Geschlecht,Alter,OS,Kettenhotel,IndivHotel,Kettenrestaurant,IndivRestaurant,KettenCafe,IndivCafe
8/12/2014 19:23:28,Ja,Gut,Befriedigend,Gut,Gut,Keine Angabe,Gut,Gut,Befriedigend,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,ca. 1 x pro Monat,ca. 1 x pro Woche,"Gar nicht, interessiert mich nicht",Wenige Male zum Ausprobieren,ca. 1 x pro Tag,Wenige Male zum Ausprobieren,männich,19 - 25,"Windows, z.B. Nokia, HTC, etc.",ca. 1 x pro Jahr,Selten,ca. 1 x pro Jahr,Selten,ca. 1 x pro Monat,ca. 1 x pro Monat
8/12/2014 19:27:17,Ja,Sehr gut,Gut,Gut,Sehr gut,Keine Angabe,Gut,Gut,Keine Angabe,ca. 1 x pro Monat,Wenige Male zum Ausprobieren,ca. 1 x pro Woche,mehrmals täglich,Wenige Male zum Ausprobieren,mehrmals täglich,mehrmals täglich,Wenige Male zum Ausprobieren,männich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Jahr,Selten,ca. 1 x pro Monat
8/12/2014 19:30:47,Ja,Gut,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,Ungenügend,Mangelhaft,Keine Angabe,ca. 1 x pro Woche,"Gar nicht, mein Handy kann das nicht",mehrmals täglich,ca. 1 x pro Tag,"Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",ca. 1 x pro Tag,Wenige Male zum Ausprobieren,männich,19 - 25,"iOS, z.B. Apple iPhone",ca. 1 x pro Monat,ca. 1 x pro Monat,Selten,ca. 1 x pro Jahr,Selten,mehrmals pro Monat
8/12/2014 19:34:22,Ja,Gut,Befriedigend,Befriedigend,Sehr gut,Keine Angabe,Sehr gut,Sehr gut,Mangelhaft,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,mehrmals täglich,mehrmals täglich,"Gar nicht, kenne ich nicht",ca. 1 x pro Tag,mehrmals täglich,ca. 1 x pro Monat,männich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat
8/12/2014 19:39:15,Ja,Sehr gut,Gut,Sehr gut,Sehr gut,Gut,Sehr gut,Sehr gut,Gut,ca. 1 x pro Woche,ca. 1 x pro Monat,mehrmals täglich,mehrmals täglich,Wenige Male zum Ausprobieren,mehrmals täglich,mehrmals täglich,ca. 1 x pro Monat,männich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Monat,mehrmals pro Monat,mehrmals pro Monat
8/12/2014 19:48:06,Ja,Sehr gut,Gut,Gut,Gut,Befriedigend,Befriedigend,Gut,Befriedigend,ca. 1 x pro Monat,Wenige Male zum Ausprobieren,mehrmals täglich,ca. 1 x pro Monat,Wenige Male zum Ausprobieren,mehrmals täglich,mehrmals täglich,"Gar nicht, interessiert mich nicht",männich,26 - 35,"Android, z.B. Samsung Galaxy",Gar nicht,Selten,ca. 1 x pro Jahr,ca. 1 x pro Monat,Gar nicht,ca. 1 x pro Monat
8/12/2014 19:52:01,Ja,Gut,Befriedigend,Befriedigend,Sehr gut,Keine Angabe,Gut,Sehr gut,Keine Angabe,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,ca. 1 x pro Woche,ca. 1 x pro Tag,"Gar nicht, kenne ich nicht",mehrmals täglich,ca. 1 x pro Woche,"Gar nicht, interessiert mich nicht",weiblich,36 - 50,"iOS, z.B. Apple iPhone",Selten,Selten,Gar nicht,Selten,ca. 1 x pro Monat,ca. 1 x pro Monat
8/12/2014 20:03:51,Ja,Sehr gut,Keine Angabe,Keine Angabe,Sehr gut,Keine Angabe,Keine Angabe,Sehr gut,Keine Angabe,ca. 1 x pro Monat,"Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",ca. 1 x pro Monat,"Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,"Gar nicht, interessiert mich nicht",männich,36 - 50,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Monat,Selten,ca. 1 x pro Monat
8/12/2014 20:04:20,Ja,Befriedigend,Keine Angabe,Gut,Gut,Keine Angabe,Mangelhaft,Mangelhaft,Gut,Wenige Male zum Ausprobieren,"Gar nicht, mein Handy kann das nicht",ca. 1 x pro Tag,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,ca. 1 x pro Monat,männich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Jahr
8/12/2014 20:08:55,Ja,Sehr gut,Sehr gut,Sehr gut,Sehr gut,Keine Angabe,Befriedigend,Sehr gut,Sehr gut,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,ca. 1 x pro Woche,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,Wenige Male zum Ausprobieren,männich,19 - 25,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,Selten,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat
